season,local_hour,n,mean,std,q0010,q0025,q0050,q0100,q0150,q0200,q0250,q0300,q0400,q0500,q0600,q0700,q0750,q0800,q0850,q0900,q0950,q0975,q0990
DJF,8,342,-0.20203077327438268,3.1347302813068105,-6.453716125488281,-5.688040828704834,-4.666230583190918,-3.9218284606933596,-3.3700347900390626,-2.679388427734375,-2.226503372192383,-1.834865188598633,-1.1502250671386718,-0.3766288757324219,0.31765785217285136,1.0601737365722634,1.418095588684082,1.8061859130859375,2.5288575172424306,3.7156852722168012,5.527655601501465,7.171387004852288,8.87810104370117
DJF,9,323,-0.11605489984754438,2.759937563828512,-5.404364051818848,-4.679823112487793,-4.214387893676758,-3.4416542053222656,-2.857808303833008,-2.333766174316406,-1.9702739715576172,-1.5723045349121096,-0.8556335449218747,-0.39669036865234375,0.24400024414062457,1.0952941894531245,1.4562397003173828,1.8853828430175783,2.4830524444580075,3.322444915771485,4.884968185424802,6.528496742248535,7.799514770507806
DJF,10,298,-0.25553218815950746,2.535518347560131,-4.751787490844727,-4.081229734420776,-3.605236625671387,-2.940212440490723,-2.4394203186035157,-2.1672115325927734,-1.864283561706543,-1.5819019317626954,-1.0556137084960935,-0.5685195922851562,-0.046868133544921885,0.5392826080322264,0.9755544662475586,1.4155616760253908,1.8512908935546861,2.4420444488525392,4.529718208312984,6.056737804412836,7.910085487365698
DJF,11,299,-0.23963760478042045,2.340646139559035,-4.443185615539551,-4.112453269958496,-3.6106313705444335,-2.899365234375,-2.3160572052001953,-1.8397216796875,-1.6141681671142578,-1.4320152282714844,-0.9073410034179688,-0.5509414672851562,-0.10775222778320434,0.4875228576660161,0.8878195190429672,1.3750244140625,1.9031333923339842,2.677469253540039,4.154697418212889,5.665974426269533,6.606273880004883
DJF,12,305,-0.2101761554655482,2.165365596973168,-4.61831787109375,-3.9739761352539062,-3.33265380859375,-2.5548091888427735,-1.9955596923828125,-1.7558082580566405,-1.3501853942871094,-1.1345367431640625,-0.7980194091796873,-0.3345794677734375,0.06918411254882814,0.5601394653320305,0.7514457702636719,1.070243835449219,1.5656997680664062,2.166186523437501,3.18465385437012,4.307804107666015,6.488393554687479
DJF,13,314,-0.08203870955546193,1.9073659329054709,-4.367466640472412,-3.156549644470215,-2.8015325546264647,-2.2084144592285155,-1.624258613586426,-1.3780624389648437,-1.0866947174072266,-0.873891830444336,-0.5652900695800781,-0.1959514617919922,0.15543746948242182,0.46613883972167963,0.6657209396362305,0.9178802490234376,1.4055381774902347,1.9538215637207024,2.8925175666809015,4.751380729675293,6.17168167114258
DJF,14,335,-0.04652524236422866,1.8509409622962716,-4.433871459960938,-3.199237251281738,-2.5500635147094726,-1.8832374572753907,-1.605149269104004,-1.294291687011719,-1.0705270767211914,-0.8320388793945312,-0.4967521667480469,-0.09893035888671875,0.14674377441406258,0.5606880187988281,0.7712135314941406,1.0104431152343747,1.2274356842041012,1.6807991027832048,2.8082134246826196,4.3777598381042475,6.0981014251709125
DJF,15,343,-0.03970996445191499,1.705830710720809,-3.8565655517578126,-3.049488639831543,-2.351497268676758,-1.8385040283203125,-1.5541664123535157,-1.213219451904297,-0.9394378662109375,-0.8376602172851563,-0.465876007080078,-0.18544769287109375,0.17764663696289051,0.4514762878417966,0.6095294952392578,0.8521224975585943,1.2172882080078125,1.6211387634277348,3.1949645996093725,4.307480907440185,5.569725112915036
DJF,16,361,-0.0951888015197585,1.7580858541698934,-4.1704345703125,-3.267223358154297,-2.551319122314453,-2.079486846923828,-1.6254425048828125,-1.3465709686279297,-1.01251220703125,-0.7381973266601562,-0.4224567413330078,-0.10634231567382812,0.15285491943359375,0.45436859130859336,0.6604156494140625,0.8481216430664062,1.084564208984375,1.6034584045410156,2.5956649780273438,4.074676513671875,5.90401535034178
DJF,17,357,-0.06255499276126468,1.6624438567619964,-3.7717349243164064,-3.1656227111816406,-2.5362335205078126,-1.8406349182128905,-1.5518753051757812,-1.2743507385253905,-0.99298095703125,-0.7386772155761718,-0.43523178100585935,-0.11860275268554688,0.15285720825195312,0.4661006927490233,0.5973663330078125,0.9066123962402344,1.0867515563964836,1.5805564880371115,2.9322029113769523,4.171466064453122,5.633329772949218
DJF,18,370,0.0435062212557406,1.6392723634823765,-3.5096598052978516,-3.05304012298584,-2.4325008392333984,-1.871295166015625,-1.350136947631836,-1.1180892944335938,-0.8346238136291504,-0.6747058868408203,-0.2727691650390625,-0.05220985412597656,0.22308425903320314,0.5035209655761721,0.7233486175537109,0.9208740234374999,1.270943260192871,1.9445125579833997,2.9124526977539076,4.078778648376463,5.011389141082765
DJF,19,367,0.0908735829283171,1.7812675728859266,-3.841045825195312,-3.338498783111572,-2.4155635833740234,-1.73193359375,-1.375906753540039,-1.115792465209961,-0.8378162384033203,-0.6942131042480468,-0.35034790039062497,-0.07181930541992188,0.31509552001953123,0.6353385925292965,0.8591022491455078,1.1500305175781254,1.43515338897705,1.916851806640625,2.7377841949462884,3.954506683349592,5.2946802139282205
